bfs_cost_of_path,bfs_max_ram_usage,bfs_max_search_depth, bfs_nodes_expanded ,bfs_path_to_goal,bfs_running_time, bfs_search_depth ,dfs_cost_of_path,dfs_max_ram_usage, dfs_max_search_depth , dfs_nodes_expanded ,dfs_running_time, dfs_search_depth ,grid,i
26,0.4499193856,27," 163,489 ",URDLUURDRULLDRDLUURDRDLULU,3.3403863907, 26 ,52168,0.4602462208," 52,168 "," 60,178 ",1.1370334625," 52,168 ","4,3,7,1,8,6,0,2,5",247
24,0.4499193856,25," 129,261 ",DLDRULLDRRULURDLLDRRULUL,2.6299974918, 24 ,50104,0.4592189440," 50,105 "," 56,477 ",1.1392822266," 50,104 ","1,8,0,2,6,4,5,7,3",248
23,0.4508385280,24," 114,907 ",DRRULDLURDRUULLDRURDLUL,2.4525213242, 23 ,51143,0.4597596160," 51,143 "," 58,167 ",1.1441619396," 51,143 ","5,4,2,0,8,7,6,3,1",249
19,0.2272231424,20," 34,353 ",DRULURRDLDRUULDRULL,0.8694489002, 19 ,51451,0.4598677504," 51,451 "," 58,698 ",1.1454935074," 51,451 ","3,1,5,0,2,4,8,6,7",250
18,0.2239250432,19," 25,594 ",LLUURDDLURRDLLURUL,0.6219987869, 18 ,53158,0.4606787584," 53,158 "," 61,177 ",1.1557183266," 53,158 ","7,1,2,8,4,3,6,5,0",251
26,0.8684945408,27," 165,334 ",ULDRRULDLURDLDRURDLULDRUUL,3.2871773243, 26 ,54422,0.4612194304," 54,426 "," 63,214 ",1.1630456448," 54,422 ","2,4,6,8,0,1,7,3,5",252
24,0.4506763264,25," 140,334 ",DRUULLDDRRULULDDRUURDLUL,2.7461981773, 24 ,50584,0.4594892800," 50,584 "," 57,266 ",1.1689991951," 50,584 ","7,4,8,5,0,6,1,2,3",253
14,0.0152453120,15," 3,329 ",ULULDRRULLDRUL,0.1089994907, 14 ,52426,0.4603543552," 52,426 "," 60,031 ",1.1690800190," 52,426 ","2,1,5,4,3,8,6,7,0",254
26,0.8684404736,27," 170,444 ",DRUULDDLURRDLLURRULLDRDLUU,3.5432527065, 26 ,54460,0.4612194304," 54,460 "," 63,320 ",1.1730000973," 54,460 ","1,5,3,4,0,6,8,2,7",255
24,0.4499193856,25," 125,347 ",ULURDDLULURDRDLLUURRDLLU,2.5040707588, 24 ,55284,0.4615979008," 55,284 "," 64,752 ",1.1740691662," 55,284 ","6,8,4,3,1,5,7,2,0",256
23,0.4508385280,24," 115,317 ",DLLURRDLLUURDLDRURDLLUU,2.3351271152, 23 ,51747,0.4600299520," 51,747 "," 59,036 ",1.1749987602," 51,747 ","8,3,2,7,6,0,5,4,1",257
20,0.2294398976,21," 43,744 ",URURDLLURRDDLLURRULL,1.0141267776, 20 ,51370,0.4598677504," 51,370 "," 59,016 ",1.1781222820," 51,370 ","6,5,1,7,3,2,0,8,4",258
25,0.4508385280,26," 142,337 ",URDDLUURDLURRDLDRUULDRULL,2.9274888039, 25 ,55495,0.4617601024," 55,495 "," 65,083 ",1.1819989681," 55,495 ","6,8,5,0,3,4,2,1,7",259
25,0.4508385280,26," 144,543 ",UULDRDLURRDLLURRULLDRDLUU,3.0695314407, 25 ,51651,0.4599758848," 51,651 "," 58,866 ",1.1870229244," 51,651 ","2,4,5,1,7,3,8,0,6",260
23,0.4507844608,24," 106,739 ",DLURDRULDLDRRUULDLDRUUL,2.2413303852, 23 ,54065,0.4611112960," 54,065 "," 62,630 ",1.1892044544," 54,065 ","4,0,8,5,1,2,7,3,6",261
18,0.2245197824,19," 23,503 ",URDDLURULLDDRRULLU,0.3945422173, 18 ,42446,0.2407399424," 42,446 "," 46,272 ",1.1920225620," 42,446 ","1,6,2,3,0,8,4,7,5",262
23,0.4508385280,24," 123,199 ",RULLURRDDLULDRUULDRRULL,2.4252545834, 23 ,52833,0.4605165568," 52,835 "," 60,653 ",1.1957459450," 52,833 ","7,2,3,6,5,4,1,0,8",263
21,0.2332786688,22," 64,523 ",URRDLLDRRULDLUURDDLUU,1.4069986343, 21 ,54397,0.4612194304," 54,397 "," 63,227 ",1.1990001202," 54,397 ","5,6,3,0,8,2,7,4,1",264
22,0.4498653184,23," 75,354 ",UULDRULLDRURDDLURDLLUU,1.5510957241, 22 ,55386,0.4616519680," 55,386 "," 64,966 ",1.2010846138," 55,386 ","8,2,6,3,1,4,7,5,0",265
27,0.8668725248,28," 175,638 ",ULDRRUULDLURDRDLULDRURDLULU,3.6563889980, 27 ,55729,0.4618141696," 55,729 "," 65,656 ",1.2100005150," 55,729 ","8,2,6,3,4,7,1,0,5",266
12,0.0143802368,13," 1,843 ",RRULLDRRUULL,0.0289976597, 12 ,49276,0.4588945408," 49,276 "," 55,768 ",1.2109975815," 49,276 ","1,2,5,4,8,7,0,3,6",267
21,0.4479188992,22," 78,203 ",LLDRULURRDDLUULDDRUUL,1.5230023861, 21 ,55717,0.4618141696," 55,718 "," 65,643 ",1.2149984837," 55,717 ","1,4,7,8,2,0,6,3,5",268
24,0.4506763264,25," 130,929 ",ULDRRULDRDLLURRULDDRULUL,2.6254255772, 24 ,53144,0.4606787584," 53,144 "," 61,158 ",1.2208051682," 53,144 ","8,6,3,1,0,2,5,7,4",269
16,0.0584302592,17," 11,231 ",RRUULDRDLULDRULU,0.1820008755, 16 ,44786,0.2419834880," 44,786 "," 49,699 ",1.2257339954," 44,786 ","3,2,6,7,1,5,0,4,8",270
22,0.4507303936,23," 100,396 ",LURRDLLDRUULDRURDDLUUL,2.2104525566, 22 ,54802,0.4613816320," 54,802 "," 63,942 ",1.2299966812," 54,802 ","8,7,3,2,0,4,1,6,5",271
22,0.4498653184,23," 86,626 ",LDDLUURDLDRRULLURRDLLU,1.6975820065, 22 ,56080,0.4618682368," 56,080 "," 65,789 ",1.2300195694," 56,080 ","2,1,0,5,4,8,6,3,7",272
26,0.8684404736,27," 169,277 ",DLUURRDLLURDDLUURDRULDDLUU,3.5101478100, 26 ,57040,0.4623548416," 57,040 "," 67,969 ",1.2310965061," 57,040 ","3,7,6,4,0,5,2,1,8",273
26,0.4499193856,27," 165,028 ",DLLURDDRUULDDLURRDLLURRULL,3.4011912346, 26 ,56748,0.4621926400," 56,748 "," 67,044 ",1.2330641747," 56,748 ","7,1,0,5,4,3,8,2,6",274
19,0.2270068736,20," 33,387 ",ULDRURULLDRURDDLULU,0.5499980450, 19 ,47813,0.2434433024," 47,813 "," 53,251 ",1.2379980087," 47,813 ","7,1,2,8,6,4,3,0,5",275
24,0.4499193856,25," 118,847 ",DDLULURDRDLLURRDLURULDLU,2.3819990158, 24 ,54674,0.4612734976," 54,674 "," 63,483 ",1.2433512211," 54,674 ","6,3,0,2,1,5,8,7,4",276
21,0.4478648320,22," 73,982 ",LURRULLDRDRUULLDRRULL,1.5389997959, 21 ,54709,0.4613816320," 54,709 "," 63,802 ",1.2435119152," 54,709 ","5,4,8,6,2,1,3,0,7",277
8,0.0010403840,9, 173 ,DLULDRUL,0.0019998550, 8 ,48570,0.4585160704," 48,570 "," 54,326 ",1.2479996681," 48,570 ","4,3,0,1,5,2,6,7,8",278
22,0.4498653184,23," 92,654 ",RDRDLLUURRDLDRUULDDLUU,1.8049976826, 22 ,53428,0.4607868928," 53,428 "," 62,151 ",1.2490804195," 53,428 ","0,6,2,7,3,8,1,4,5",279
18,0.2250604544,19," 29,551 ",LDRURULLDDRRUULDLU,0.7119994164, 18 ,54706,0.4613816320," 54,706 "," 63,794 ",1.2499666214," 54,706 ","2,5,8,6,0,1,3,4,7",280
18,0.2232762368,19," 20,013 ",ULURDDLUULDDRRULLU,0.3309977055, 18 ,48444,0.4585160704," 48,444 "," 54,180 ",1.2510907650," 48,444 ","1,6,5,3,2,8,4,7,0",281
25,0.4508385280,26," 157,964 ",LURDLLURDDLURRULDRDLURULL,3.1313395500, 25 ,53681,0.4608950272," 53,681 "," 62,017 ",1.2595837116," 53,681 ","6,2,1,5,7,0,8,3,4",282
25,0.4508385280,26," 155,058 ",LUURDDLURDRULURDLLURDDLUU,3.0872080326, 25 ,57759,0.4626251776," 57,763 "," 69,316 ",1.2619981766," 57,759 ","7,6,3,2,5,8,1,0,4",283
26,0.4499193856,27," 162,092 ",DRURDDLUULDDRUULDRRDLLURUL,3.2542970181, 26 ,57914,0.4627873792," 57,914 "," 69,509 ",1.2680296898," 57,914 ","0,7,8,6,4,2,1,5,3",284
15,0.0569704448,16," 6,871 ",URDLLURDRUULDLU,0.1110000610, 15 ,42387,0.2406858752," 42,387 "," 46,201 ",1.2743272781," 42,387 ","3,2,5,6,7,4,1,0,8",285
22,0.4498112512,23," 85,234 ",ULLDRUULDRRDLUURDDLUUL,1.7143380642, 22 ,54836,0.4614356992," 54,836 "," 63,990 ",1.2771928310," 54,836 ","7,3,4,5,8,2,1,6,0",286
22,0.4507303936,23," 104,250 ",RULLDDRULDRRUULDDRULLU,2.1310207844, 22 ,57006,0.4623548416," 57,006 "," 67,884 ",1.2820012569," 57,006 ","2,8,7,3,0,6,1,4,5",287
28,0.8684404736,29," 180,270 ",DLURULDDRUURDDLUURDDLULDRUUL,3.5771653652, 28 ,57914,0.4627333120," 57,914 "," 69,575 ",1.2820687294," 57,914 ","8,5,6,7,0,4,3,1,2",288
23,0.4508385280,24," 102,581 ",DDRUULDDLURRDLUULDDRULU,2.0180559158, 23 ,57607,0.4625711104," 57,607 "," 69,040 ",1.2871029377," 57,607 ","1,0,6,4,2,5,8,7,3",289
24,0.4499193856,25," 128,785 ",URDRULURDLDLUURRDLLDRULU,2.6031765938, 24 ,55974,0.4619223040," 55,974 "," 66,226 ",1.2889974117," 55,974 ","7,2,3,6,4,8,0,1,5",290
15,0.0571867136,16," 7,722 ",RDDLUULDRDLURUL,0.1249983311, 15 ,48453,0.4585160704," 48,453 "," 54,192 ",1.2936980724," 48,453 ","4,0,6,1,3,2,7,8,5",291
27,0.8667103232,28," 175,336 ",DRUULDRURDDLUULDRRDLLURRULL,3.4973614216, 27 ,58813,0.4632199168," 58,813 "," 71,028 ",1.2963097095," 58,813 ","8,1,6,0,4,5,2,7,3",292
21,0.2332786688,22," 63,972 ",URRDLDRULLDRULURDRULL,1.4614889622, 21 ,56969,0.4624089088," 56,969 "," 67,740 ",1.2989993095," 56,969 ","7,3,1,0,8,5,2,4,6",293
24,0.4506763264,25," 131,963 ",URDDLUULDRRDLLURURDDLUUL,2.5962574482, 24 ,56568,0.4621926400," 56,568 "," 67,073 ",1.3100280762," 56,568 ","7,5,6,1,0,4,8,2,3",294
22,0.4498112512,23," 75,566 ",DDLURULDRDLLUURRDDLULU,1.4676346779, 22 ,56718,0.4621385728," 56,729 "," 67,006 ",1.3111150265," 56,718 ","4,1,0,6,5,7,8,2,3",295
20,0.2294398976,21," 43,123 ",ULURDDLURDLLURRDLLUU,1.1125113964, 20 ,57270,0.4624629760," 57,270 "," 68,410 ",1.3159992695," 57,270 ","3,5,1,7,2,6,8,4,0",296
12,0.0141639680,13," 1,145 ",UULDLURRDLUL,0.0189993382, 12 ,52434,0.4603543552," 52,434 "," 60,040 ",1.3165719509," 52,434 ","3,4,2,5,1,8,6,7,0",297
27,0.8667103232,28," 175,336 ",DRUULDRURDDLUULDRRDLLURRULL,3.5976243019, 27 ,58813,0.4632199168," 58,813 "," 71,028 ",1.3211603165," 58,813 ","8,1,6,0,4,5,2,7,3",298
24,0.4499193856,25," 136,417 ",LDLDRRUULDLDRURDLULDRULU,2.7761192322, 24 ,57252,0.4624089088," 57,252 "," 67,990 ",1.3211772442," 57,252 ","3,6,0,1,2,5,8,7,4",299
25,0.4507844608,26," 144,398 ",UULDRDLURURDDLURULLDRRULL,2.9905116558, 25 ,56885,0.4623007744," 56,891 "," 67,678 ",1.3281173706," 56,885 ","7,6,5,2,1,4,8,0,3",300
22,0.4498653184,23," 92,683 ",LDRDLLUURRDDLULURRDLLU,1.8595123291, 22 ,59528,0.4633821184," 59,528 "," 72,281 ",1.3354446888," 59,528 ","5,3,0,6,4,7,8,2,1",301
25,0.4508385280,26," 144,331 ",ULDDRULURDLLDRULURDLDRULU,2.8220963478, 25 ,56597,0.4621926400," 56,597 "," 67,127 ",1.3403768539," 56,597 ","7,3,8,6,5,0,1,2,4",302
22,0.4498112512,23," 83,761 ",DLLURDDLUURDDRUULDRULL,1.5669989586, 22 ,57528,0.4625170432," 57,528 "," 68,437 ",1.3409986496," 57,528 ","6,3,0,1,8,4,2,5,7",303
21,0.2332786688,22," 62,614 ",URRDDLULDRUULDDRURULL,1.2500000000, 21 ,58731,0.4631658496," 58,731 "," 70,837 ",1.3569982052," 58,731 ","6,2,7,0,3,5,1,8,4",304
29,0.8667103232,30," 180,649 ",ULDDRUULDLDRULURDLDRURDLURULL,3.5892529488, 29 ,59541,0.4634361856," 59,541 "," 72,860 ",1.3580009937," 59,541 ","8,7,4,6,5,0,2,1,3",305
24,0.4506763264,25," 133,691 ",URDLULDDRRULLURDLDRRUULL,2.5912058353, 24 ,58112,0.4627873792," 58,112 "," 69,891 ",1.3592412472," 58,112 ","1,7,8,4,0,5,2,3,6",306
22,0.4498112512,23," 89,557 ",RDLURRDLLURDDLURDRUULL,1.8420472145, 22 ,57176,0.4624629760," 57,176 "," 68,207 ",1.3633129597," 57,176 ","0,2,1,8,6,5,4,3,7",307
21,0.2332786688,22," 64,903 ",DRUULDDRRUULDLDRRULUL,1.3763442039, 21 ,57353,0.4625711104," 57,353 "," 68,375 ",1.3741726875," 57,353 ","2,4,8,0,3,7,1,5,6",308
22,0.4498653184,23," 93,820 ",RRUULLDDRURDLUULDDRULU,1.7829968929, 22 ,57892,0.4627873792," 57,892 "," 69,453 ",1.3750212193," 57,892 ","7,2,6,1,8,5,0,3,4",309
26,0.8671428608,27," 169,255 ",RRDDLUULDRURDDLUULDRURDLLU,3.3570408821, 26 ,61066,0.4640309248," 61,066 "," 75,977 ",1.3750832081," 61,066 ","0,7,3,5,8,4,6,2,1",310
23,0.4508385280,24," 98,828 ",ULDDLUURDDLURRULDDRULLU,1.9600763321, 23 ,60581,0.4638146560," 60,581 "," 75,026 ",1.3871507645," 60,581 ","6,8,1,5,3,0,4,2,7",311
20,0.2294398976,21," 51,074 ",RDRULDLURDRULDRDLULU,1.0840733051, 20 ,60504,0.4637605888," 60,508 "," 74,824 ",1.3879423141," 60,504 ","0,4,1,2,7,3,6,8,5",312
16,0.0583761920,17," 10,982 ",LURDLLUURDRDLLUU,0.3510003090, 16 ,60378,0.4637605888," 60,378 "," 74,561 ",1.3899984360," 60,378 ","6,3,2,7,5,1,8,4,0",313
24,0.4499193856,25," 129,211 ",URDRULLDRULURRDDLUULDRUL,2.6468386650, 24 ,59856,0.4635443200," 59,856 "," 73,293 ",1.3926138878," 59,856 ","1,4,3,7,8,5,0,2,6",314
25,0.4508385280,26," 147,871 ",URDRDLURULDRDLULDRUULDRUL,3.1009998322, 25 ,62059,0.4644634624," 62,059 "," 77,983 ",1.4032487869," 62,059 ","7,4,6,0,2,8,1,5,3",315
23,0.4508385280,24," 110,374 ",ULDRRULLURDDLUURDDRUULL,2.2059049606, 23 ,60819,0.4639227904," 60,819 "," 75,498 ",1.4200699329," 60,819 ","6,3,5,8,4,7,1,0,2",316
21,0.4478648320,22," 70,380 ",LUURDLURRDLDRULURDLLU,1.5014243126, 21 ,60235,0.4637065216," 60,239 "," 74,222 ",1.4225511551," 60,235 ","8,4,5,6,3,1,2,0,7",317
22,0.4498653184,23," 75,489 ",UULDRULLDRRDLLURRDLUUL,1.6083102226, 22 ,59902,0.4635983872," 59,902 "," 73,500 ",1.4293293953," 59,902 ","4,3,6,1,2,7,8,5,0",318
13,0.0149209088,14," 2,993 ",LDLUURRDLDLUU,0.0479998589, 13 ,56803,0.4622467072," 56,803 "," 67,528 ",1.4329998493," 56,803 ","6,3,1,7,2,0,4,5,8",319
27,0.8667103232,28," 171,292 ",ULDDLUURDRULDDRULURDLDRULLU,3.3953347206, 27 ,62551,0.4645715968," 62,551 "," 79,582 ",1.4415102005," 62,551 ","4,7,8,6,3,0,2,1,5",320
19,0.2273312768,20," 40,029 ",RUULDLURRDLULDRDLUU,0.8985321522, 19 ,60831,0.4639227904," 60,831 "," 75,526 ",1.4427766800," 60,831 ","3,6,2,5,1,8,7,0,4",321
17,0.2219786240,18," 18,419 ",RUULDDRUULDDLURUL,0.3019979000, 17 ,53819,0.4609490944," 53,826 "," 62,270 ",1.4429991245," 53,819 ","1,5,8,6,2,3,7,0,4",322
19,0.2272772096,20," 39,700 ",RUULDDLURRULLDRDLUU,0.9890003204, 19 ,61075,0.4640309248," 61,075 "," 76,178 ",1.4434475899," 61,075 ","1,5,6,7,2,8,4,0,3",323
22,0.4498653184,23," 72,115 ",DDLUULDDRULDRRUULDRULL,1.7179996967, 22 ,60922,0.4639227904," 60,922 "," 75,235 ",1.4510002136," 60,922 ","5,6,0,1,3,4,2,7,8",324
21,0.4478648320,22," 75,123 ",RDRUULDDLURDRULDLURUL,1.6909980774, 21 ,61537,0.4642471936," 61,537 "," 76,541 ",1.4580180645," 61,537 ","1,2,8,0,7,3,5,4,6",325
24,0.4499193856,25," 127,701 ",DRDLURRDLUURDLULDRURDLUL,2.7074465752, 24 ,61334,0.4641390592," 61,336 "," 76,704 ",1.4599986076," 61,334 ","0,2,3,5,6,7,8,1,4",326
20,0.2294398976,21," 43,720 ",ULURDLLDRRUULLDDRUUL,0.7249960899, 20 ,53396,0.4607868928," 53,396 "," 61,552 ",1.4610922337," 53,396 ","4,8,2,7,5,6,1,3,0",327
18,0.2229518336,19," 17,649 ",UURDDLURRDLLUURDLU,0.2939996719, 18 ,53448,0.4608409600," 53,448 "," 62,187 ",1.4621827602," 53,448 ","7,4,2,8,3,1,0,6,5",328
22,0.4498653184,23," 77,245 ",UULLDRDLURRDLURULLDRUL,1.5411264896, 22 ,61444,0.4641390592," 61,445 "," 77,101 ",1.4640996456," 61,444 ","2,5,7,4,6,3,8,1,0",329
24,0.4499193856,25," 132,423 ",RUULDRURDDLURULLDRRDLLUU,2.6742191315, 24 ,60998,0.4639768576," 60,998 "," 75,810 ",1.4679648876," 60,998 ","8,3,2,1,5,4,0,7,6",330
21,0.2332786688,22," 63,985 ",URRDLDRULLDRURDLLURUL,1.2789993286, 21 ,60027,0.4637065216," 60,027 "," 73,249 ",1.4688937664," 60,027 ","8,1,4,0,5,2,6,3,7",331
22,0.4506763264,23," 98,764 ",LURDLDRRUULDRULLDDRULU,2.0959994793, 22 ,62824,0.4646797312," 62,824 "," 80,514 ",1.4740588665," 62,824 ","2,1,7,5,0,8,3,4,6",332
24,0.4499193856,25," 134,193 ",LUURDLLURRDDLULURRDDLLUU,2.7694315910, 24 ,61394,0.4641390592," 61,394 "," 76,988 ",1.4796574116," 61,394 ","4,1,6,8,5,3,7,2,0",333
21,0.4478648320,22," 78,649 ",RULLDRULURRDDLULDRUUL,1.5833859444, 21 ,62253,0.4644634624," 62,253 "," 78,870 ",1.4814269543," 62,253 ","7,1,4,8,2,5,6,0,3",334
21,0.4478648320,22," 75,172 ",RDRUULDDRUULDLURDDLUU,1.4961946011, 21 ,61891,0.4644093952," 61,891 "," 77,588 ",1.4881074429," 61,891 ","6,5,8,0,1,4,7,2,3",335
22,0.4498112512,23," 84,270 ",URRULDRDLUULDDRUURDLLU,1.8702604771, 22 ,61234,0.4640849920," 61,234 "," 76,413 ",1.4931223392," 61,234 ","5,1,6,4,3,7,0,8,2",336
28,0.8671428608,29," 177,530 ",UURDLDRURDLUURDLLURRDLLDRULU,3.5182027817, 28 ,60584,0.4638146560," 60,584 "," 74,944 ",1.5057091713," 60,584 ","8,7,3,5,2,6,0,4,1",337
22,0.4498112512,23," 81,232 ",DLDLUURDDLURRDLLURRULL,1.7400126457, 22 ,62326,0.4644093952," 62,356 "," 78,577 ",1.5150668621," 62,326 ","7,1,0,8,3,5,6,2,4",338
19,0.2270609408,20," 31,836 ",ULLDDRURDLULDRRUULL,0.5300002098, 19 ,56031,0.4619223040," 56,031 "," 66,153 ",1.5170047283," 56,031 ","2,5,6,1,7,0,4,3,8",339
23,0.4508385280,24," 111,880 ",DLULDRULURRDDLUURDDLLUU,2.3199992180, 23 ,63217,0.4647878656," 63,217 "," 81,486 ",1.5170354843," 63,217 ","6,3,4,5,7,0,8,2,1",340
22,0.4498653184,23," 73,300 ",DDLUURDLULDRRULLDDRULU,1.4743573666, 22 ,62960,0.4646256640," 62,960 "," 79,848 ",1.5192034245," 62,960 ","2,7,0,1,6,3,4,8,5",341
26,0.4499193856,27," 161,881 ",DRULDRRULDLURDRDLLURRDLLUU,3.2304089069, 26 ,61410,0.4641390592," 61,410 "," 76,970 ",1.5273497105," 61,410 ","0,1,6,2,7,3,8,5,4",342
25,0.4507844608,26," 154,545 ",DRDLLUURDLURRDLDRULLDRULU,3.0678238869, 25 ,61985,0.4643553280," 61,985 "," 78,352 ",1.5404176712," 61,985 ","8,0,1,4,7,3,5,6,2",343
28,0.8671428608,29," 179,427 ",DRDRUULLDRDLURRDLUURDLDRULUL,3.5594050884, 28 ,64428,0.4652744704," 64,438 "," 85,402 ",1.5461459160," 64,428 ","0,4,5,8,1,2,7,6,3",344
19,0.2270609408,20," 32,742 ",URRDLLDRUULDDRRULUL,0.8022286892, 19 ,63419,0.4649500672," 63,419 "," 81,377 ",1.5500936508," 63,419 ","6,4,5,0,8,2,1,3,7",345
26,0.4499193856,27," 159,809 ",UURRDDLULURDRULDLURDRDLLUU,3.1486687660, 26 ,62190,0.4644634624," 62,190 "," 78,909 ",1.5573766232," 62,190 ","2,1,6,7,8,4,0,5,3",346
22,0.4498653184,23," 78,647 ",DLULDDRRULULDRDLUURDLU,1.8336424828, 22 ,63994,0.4650582016," 64,004 "," 82,631 ",1.5614502430," 63,994 ","6,5,0,3,8,2,4,7,1",347
26,0.8684404736,27," 172,593 ",LDRUULDRRDLURULLDRRDLURULL,3.3900005817, 26 ,62128,0.4644093952," 62,128 "," 78,629 ",1.5630004406," 62,128 ","5,1,7,4,0,8,2,6,3",348
24,0.4499193856,25," 134,174 ",LUURDLLURDLDRRULLDRRULLU,2.7496113777, 24 ,63180,0.4647878656," 63,195 "," 81,396 ",1.5630202293," 63,180 ","8,7,3,1,4,2,5,6,0",349
21,0.4478648320,22," 76,924 ",RRULDLURRDLDRULURDLLU,1.5010509491, 21 ,63373,0.4649500672," 63,373 "," 81,251 ",1.5684928894," 63,373 ","4,5,1,0,8,3,6,2,7",350
22,0.4498653184,23," 90,147 ",LULURRDLDRULLURRDLDLUU,1.8090794086, 22 ,62996,0.4647337984," 62,996 "," 80,827 ",1.5699970722," 62,996 ","5,6,3,8,2,1,7,4,0",351
22,0.4498112512,23," 74,297 ",UURDLDRURULLDDRRULDLUU,1.6021616459, 22 ,63132,0.4647878656," 63,132 "," 81,111 ",1.5711550713," 63,132 ","7,1,8,3,2,5,0,6,4",352
23,0.4508385280,24," 113,318 ",URDLULDRULURDRULLDRRULL,2.3022539616, 23 ,64063,0.4651122688," 64,063 "," 84,636 ",1.5730967522," 64,063 ","1,2,4,7,8,6,5,0,3",353
22,0.4498112512,23," 81,381 ",DRDLUURDLDRRUULDDRULLU,1.6173539162, 22 ,63380,0.4648960000," 63,380 "," 81,833 ",1.5745174885," 63,380 ","0,3,8,1,4,7,6,2,5",354
16,0.0580517888,17," 9,338 ",URRULLDRURDDLUUL,0.1499998569, 16 ,62468,0.4645715968," 62,469 "," 79,567 ",1.5816795826," 62,468 ","7,4,2,6,1,3,0,8,5",355
27,0.8667103232,28," 174,266 ",ULLDDRULDRRUULLDRRULDDRUULL,3.4818708897, 27 ,64803,0.4653826048," 64,819 "," 87,685 ",1.5829982758," 64,803 ","8,2,7,5,6,0,3,1,4",356
24,0.4499193856,25," 125,298 ",URURDDLURULLDRRULDRDLLUU,2.6643986702, 24 ,63632,0.4650041344," 63,656 "," 82,710 ",1.5839817524," 63,632 ","2,8,4,7,3,1,0,5,6",357
24,0.4499193856,25," 139,218 ",LLDRDLURRULLDDRRUULDDLUU,2.8486442566, 24 ,63692,0.4649500672," 63,692 "," 81,847 ",1.5849986076," 63,692 ","5,8,0,2,6,1,7,3,4",358
18,0.2240331776,19," 26,622 ",RRULLURDDLURDRULLU,0.6080207825, 18 ,63858,0.4650582016," 63,858 "," 83,335 ",1.5859980583," 63,858 ","6,3,2,1,8,7,0,5,4",359
18,0.2236547072,19," 23,477 ",RUURDLULDDRURDLULU,0.3779997826, 18 ,60728,0.4638687232," 60,728 "," 75,294 ",1.5890004635," 60,728 ","1,7,8,3,6,2,0,4,5",360
24,0.4499193856,25," 136,850 ",RURULLDRRDLLURRULDDRULUL,2.7160952091, 24 ,63970,0.4651122688," 63,978 "," 83,597 ",1.5941743851," 63,970 ","2,8,3,1,7,6,0,5,4",361
17,0.2220326912,18," 19,055 ",RULULDDRULURRDLUL,0.3189992905, 17 ,61847,0.4643012608," 61,847 "," 78,012 ",1.6048719883," 61,847 ","1,7,4,3,2,8,5,0,6",362
20,0.2306293760,21," 45,783 ",ULDDRRUULLDRDLURRULL,1.0289986134, 20 ,63376,0.4648419328," 63,393 "," 81,882 ",1.6072208881," 63,376 ","5,6,4,2,0,8,1,7,3",363
22,0.4498112512,23," 82,636 ",ULDRUULDDLURRDLULDRULU,1.7710838318, 22 ,64066,0.4651122688," 64,070 "," 84,653 ",1.6221265793," 64,066 ","3,2,6,4,5,7,8,1,0",364
20,0.2294398976,21," 53,736 ",RRULURDDLULDRURDLLUU,1.1301348209, 20 ,64122,0.4651663360," 64,122 "," 84,111 ",1.6233501434," 64,122 ","3,7,1,8,2,4,0,6,5",365
23,0.4508385280,24," 118,055 ",LURDRUULDDLURRDLUURDLUL,2.4346261024, 23 ,63201,0.4647878656," 63,201 "," 81,453 ",1.6249997616," 63,201 ","1,4,7,8,6,2,5,0,3",366
21,0.4478648320,22," 68,166 ",URDLUURDDLULURDLDRULU,1.5804088116, 21 ,64583,0.4653285376," 64,583 "," 86,562 ",1.6356191635," 64,583 ","7,6,3,1,5,8,4,0,2",367
19,0.2268446720,20," 30,919 ",DDRULDLUURDDLUURDLU,0.7011618614, 19 ,65083,0.4654907392," 65,087 "," 88,911 ",1.6490960121," 65,083 ","6,0,2,7,4,8,1,5,3",368
17,0.2215460864,18," 15,154 ",DRUURDLULDDRRULUL,0.3380007744, 17 ,63621,0.4650582016," 63,625 "," 82,079 ",1.6512050629," 63,621 ","4,8,5,0,6,2,1,3,7",369
